REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGEGRP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,0,0,0,0,281424600,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,308745538,309349689
3,6,1,Alabama,0,0,0,0,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298
4,9,2,Alaska,0,0,0,0,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713985
4,8,4,Arizona,0,0,0,0,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6413737
3,7,5,Arkansas,0,0,0,0,2673293,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2921606
4,9,6,California,0,0,0,0,33871653,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37349363
4,8,8,Colorado,0,0,0,0,4302086,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5029196,5049071
1,1,9,Connecticut,0,0,0,0,3405650,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3574097,3577073
3,5,10,Delaware,0,0,0,0,783559,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,897934,899769
3,5,11,District of Columbia,0,0,0,0,572086,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,601723,604453
3,5,12,Florida,0,0,0,0,15982571,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18801310,18843326
3,5,13,Georgia,0,0,0,0,8186653,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9687653,9712587
4,9,15,Hawaii,0,0,0,0,1211497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1360301,1363621
4,8,16,Idaho,0,0,0,0,1293957,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1567582,1571450
2,3,17,Illinois,0,0,0,0,12419927,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12830632,12843166
2,3,18,Indiana,0,0,0,0,6080827,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6483802,6490621
2,4,19,Iowa,0,0,0,0,2926538,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3046355,3049883
2,4,20,Kansas,0,0,0,0,2688925,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2853118,2859169
3,6,21,Kentucky,0,0,0,0,4042193,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4339367,4346266
3,7,22,Louisiana,0,0,0,0,4469035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4533372,4544228
1,1,23,Maine,0,0,0,0,1274779,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1328361,1327567
